rmse,n_hidden,alpha,rbf_width,activation_func
9.489162147017732,37.0,0.2268514535642031,0.7503852680901562,softlim
5.567375918824186,310.0,0.5723135366314989,5.52655303044509e-05,tanh
11.291678700343947,13.0,0.6275799857910759,0.03524374744895977,softlim
9.731025637804466,18.0,0.08740630845952124,5.447595977475015e-05,sigmoid
12.663573822454705,12.0,0.18596531220043622,0.04643369449704818,inv_multiquadric
27.892710876494245,34.0,0.131408478173487,11.653578338349801,tribas
9.874455670903052,34.0,0.6052952376255275,0.098564693560347,softlim
20.847295203398104,42.0,0.5547922915643344,9.80419371311051e-05,sine
6.419789872789609,787.0,0.38802888678400627,0.35569293439791505,hardlim
8.325220899136808,58.0,0.8286376417073243,2.926356898304027,hardlim
8.327137871470688,18.0,0.1095561231138934,0.008640926567903818,sigmoid
12.290256690513264,79.0,0.6277456560604853,4.784376892421973,sigmoid
8.914391292462655,45.0,0.19539817561257988,0.4258950545794389,multiquadric
12.56354316628677,20.0,0.2134618842296404,0.00011817117621629445,gaussian
25.288600444510454,15.0,0.6953709675914782,40.453067285052924,sine
9.432172614370653,257.0,0.3240275277438762,1.7595265695132853,inv_multiquadric
10.383586068612312,321.0,0.9342233418998186,0.027336109954629442,gaussian
12.650062546458562,16.0,0.0009847764137048687,1.7192483470787356,tanh
158.13195140181122,111.0,0.04303308197223432,26.405742730397684,multiquadric
2922.451694187744,131.0,0.6559847055064072,20.6267437686789,tanh
6.760999931895748,925.0,0.41335378237741693,0.0013371649577011264,inv_tribas
4.994628526580465,936.0,0.40256323606663036,0.002204927444189146,hardlim
5.019670921984286,540.0,0.4895032964995186,1.3186872805276304e-05,tanh
5.252484451026571,491.0,0.46485842248753156,1.493799482232384e-05,hardlim
5.4541428212685155,589.0,0.7862349837245788,0.0007524130784631307,tanh
6.009166012909647,187.0,0.30505430829573404,1.1257269108321165e-05,hardlim
9.275522602644106,487.0,0.49602829149916633,0.0016211147176706494,tribas
6.526424710143288,968.0,0.36710876845127915,0.006117494356220109,inv_tribas
5.16986753214046,725.0,0.28327553763522934,0.00041853010395453174,hardlim
6.807278858742372,191.0,0.7633430920722473,1.93578960333041e-05,tanh
5.420966413083216,375.0,0.5411342668155694,0.0002767928105225512,tanh
5.664038271556766,166.0,0.4478738783238101,0.0023991299690804746,softlim
5.6071038969441735,250.0,0.9957734893304311,0.0060038461354507,hardlim
5.925022360966624,434.0,0.2576890309858789,3.724534615685383e-05,inv_multiquadric
9.001493025084846,664.0,0.5295658703786108,0.00019798166893209346,tribas
12.927275823024095,82.0,0.7126612471718496,0.01408455863816292,gaussian
15.01407737877247,964.0,0.8824744077529426,0.09602164438639772,sine
13.00698249174943,254.0,0.14797673519801463,98.83050504975003,softlim
10.939133709212815,25.0,0.36718891916439755,3.1272475598159205e-05,inv_tribas
5.216217343121071,534.0,0.5854751721764264,0.1136493032149255,multiquadric
4.763836384015641,369.0,0.4211775828425708,7.510063769861125e-05,sigmoid
4.761209927543235,374.0,0.41548601427749976,0.0027204774529525307,sigmoid
5.004875192526923,158.0,0.324166059187076,9.27065228735729e-05,sigmoid
4.720125025393435,308.0,0.23978448133675961,0.00044398248056087727,sigmoid
5.511692584810048,54.0,0.0749852368692488,0.0005182109058867855,sigmoid
10.740381229691733,10.0,0.1709674611998266,0.2764617173274042,sigmoid
5.053939210471681,102.0,0.2409115089358092,0.016499064112978194,sigmoid
5.587291698742765,81.0,0.024201352858065628,0.03888333943089949,sigmoid
4.856927872287588,215.0,0.09163967012999027,0.0035071481519805595,sigmoid
6.012184304015816,310.0,0.21374259277987842,0.0009225716921425327,inv_multiquadric
