rmse,n_hidden,alpha,rbf_width,activation_func,ridge_alpha
11.699616505032711,28.0,0.5513147690828912,0.001006874505921146,inv_tribas,0.34279719049667035
9.698947855645004,140.0,0.4582411837608814,1.6531048277222427,sigmoid,2.55182471316309e-06
5.104435513842424,180.0,0.13255252720015986,2.527637943777422e-05,softlim,0.0077081291749946535
10.850460986640744,15.0,0.11547856267104184,7.888755650169307e-05,inv_multiquadric,2.506664794247875e-06
10.774061728570762,24.0,0.7727906479529085,1.9043239045678533e-05,inv_multiquadric,0.010852784446494212
11.223106596665122,18.0,0.041593443747687364,0.0006950466383564772,inv_multiquadric,10.306150541891943
6.354724095990282,162.0,0.08485637761245057,0.0007547766056178967,inv_multiquadric,0.027615791969158837
5.27461474732496,129.0,0.12581141861035738,0.001516388659679976,softlim,5.19717879792367e-06
12.999685329770717,60.0,0.6412961581459456,43.327552870507404,hardlim,0.13575168732910364
8.46048238799925,454.0,0.7816827917072622,0.004655987361154311,tribas,1.8553585686612308
9.884031013908865,17.0,0.14224351487779285,8.083994604707922e-05,hardlim,0.0013470642649202277
8.793040217172232,180.0,0.8818988069535186,0.013625414219757917,gaussian,3.4146415570162887
10.877920877207558,25.0,0.8629823133889012,0.0019672651662517283,inv_multiquadric,0.16975124962645996
7.058790891623796,27.0,0.15241899846790052,0.00010893684651791902,sigmoid,6.552386247915074e-06
6.736580016671486,246.0,0.6999903527093567,4.166853169257403e-05,inv_multiquadric,48.27936107460555
9.863685421116193,44.0,0.9522384395733422,0.8641930724548197,multiquadric,0.9869313722514506
8.716425106830071,739.0,0.9589612373175739,1.8737596633604987,sine,0.0056237743412409355
12.26108137209707,10.0,0.2965633088378705,5.7693414035909864e-05,inv_tribas,0.9589755784416766
11.383930237385735,12.0,0.42138618879779943,0.04536953033216911,sine,28.437527934790143
9.930933696342017,205.0,0.832471412772125,0.08028839023705407,sine,20.930982891529943
6.226423546440355,87.0,0.2623337420364885,0.0002946541450089088,softlim,0.00010807507867722661
4.8070290517352605,554.0,0.28393381755261227,1.5314420169305445e-05,softlim,9.751225321011727e-05
5.062411740016644,347.0,0.2975712582213344,1.1502449663478633e-05,softlim,0.00014181414211243945
4.696887277875077,885.0,0.35201754138132163,1.2047329385804842e-05,tanh,5.403969041621899e-05
4.6520383602631,848.0,0.34752118178318225,0.18806487409740838,tanh,4.768621803372558e-05
4.901578563248342,972.0,0.3815542479740577,0.3002736519609896,tanh,3.485251820879967e-07
13.00472198210497,967.0,0.5416573139758627,20.33679637282607,tanh,0.0009299289046726202
13.006989048732564,303.0,0.21859442314961605,11.903547304280082,tanh,1.932548154057996e-05
5.083904407680712,705.0,0.3693176160802524,0.2917805827723316,tanh,4.045480002261631e-07
4.881920598062389,396.0,0.5689719275466498,0.011698501888587674,tanh,2.9381077750717183e-05
13.310630087565006,650.0,0.5060970796493847,7.7945895897766375,gaussian,0.0005075149619500559
347.59702219705304,935.0,0.015230677606277943,0.13218718822597889,tanh,2.7455424274406024e-05
12404.842371411407,486.0,0.4456425109320477,2.9545330302834825,multiquadric,1.2054399872631014e-06
10.030089893602357,100.0,0.6082253294104717,0.015130660930579102,tribas,0.0004038859219260624
6.840364585991917,270.0,0.20658205165512253,0.004440562611691824,inv_tribas,0.002594123802990448
7.114924892512975,36.0,0.3850390365333509,0.6130730348253032,sigmoid,0.02017709549863962
13.00698249174864,118.0,0.33205080921520996,91.38780789285492,tanh,1.4510948960267926e-06
4.667067998104137,787.0,0.47622658395277817,0.0003021108873716224,tanh,1.2082522101134763e-05
7.568834042648264,67.0,0.5005221616930278,0.00021666973027751173,hardlim,7.593800626496204e-06
8.451735136306754,538.0,0.7036127679781314,0.00036170597353670154,tribas,7.365783797022016e-07
7.707771619599052,390.0,0.6708117639588265,0.04333832779169016,gaussian,0.000244143581624912
4.793110693831004,217.0,0.08016486700749992,0.004075646972721768,tanh,2.334427925472703e-06
7.272176498333238,142.0,0.46624851206362145,0.001995145849576207,multiquadric,8.285671733459647e-06
4.672341250604445,792.0,0.5942288000425118,0.0006442573420114206,sigmoid,0.059431795865128347
5.114622225733109,589.0,0.227191625932469,0.02068301775012915,hardlim,0.0068164239583491945
12.031638032165084,172.0,0.7701509305836798,5.466962916702012,inv_tribas,0.0032748765729978956
5.44343608405037,323.0,0.16510281869351173,0.16743593190041758,tanh,3.3713595540954145e-06
9.838784608846115,20.0,0.4173186405089728,0.006753999803108784,inv_multiquadric,0.0011006495785832742
7.949255671333132,426.0,0.5279164019478764,0.0011660519324513106,tribas,1.2717457403303927e-05
5.0299733416294865,251.0,0.0589009234021699,3.200138576584045e-05,sine,4.549773817166098e-05
